# 盲文点位（U+2800–U+28FF）。由 Unicode 官方字符名机械生成，无需人工校对。
# 点号之间留空格，中文引擎才会逐位读成「一二四五」而不是「一千二百四十五」。
2876	点 2 3 5 6 7	盲文 点 2 3 5 6 7	# BRAILLE PATTERN DOTS-23567
2877	点 1 2 3 5 6 7	盲文 点 1 2 3 5 6 7	# BRAILLE PATTERN DOTS-123567
2878	点 4 5 6 7	盲文 点 4 5 6 7	# BRAILLE PATTERN DOTS-4567
2879	点 1 4 5 6 7	盲文 点 1 4 5 6 7	# BRAILLE PATTERN DOTS-14567
287A	点 2 4 5 6 7	盲文 点 2 4 5 6 7	# BRAILLE PATTERN DOTS-24567
287B	点 1 2 4 5 6 7	盲文 点 1 2 4 5 6 7	# BRAILLE PATTERN DOTS-124567
287C	点 3 4 5 6 7	盲文 点 3 4 5 6 7	# BRAILLE PATTERN DOTS-34567
287D	点 1 3 4 5 6 7	盲文 点 1 3 4 5 6 7	# BRAILLE PATTERN DOTS-134567
287E	点 2 3 4 5 6 7	盲文 点 2 3 4 5 6 7	# BRAILLE PATTERN DOTS-234567
287F	点 1 2 3 4 5 6 7	盲文 点 1 2 3 4 5 6 7	# BRAILLE PATTERN DOTS-1234567
2880	点 8	盲文 点 8	# BRAILLE PATTERN DOTS-8
2881	点 1 8	盲文 点 1 8	# BRAILLE PATTERN DOTS-18
2882	点 2 8	盲文 点 2 8	# BRAILLE PATTERN DOTS-28
2883	点 1 2 8	盲文 点 1 2 8	# BRAILLE PATTERN DOTS-128
2884	点 3 8	盲文 点 3 8	# BRAILLE PATTERN DOTS-38
2885	点 1 3 8	盲文 点 1 3 8	# BRAILLE PATTERN DOTS-138
2886	点 2 3 8	盲文 点 2 3 8	# BRAILLE PATTERN DOTS-238
2887	点 1 2 3 8	盲文 点 1 2 3 8	# BRAILLE PATTERN DOTS-1238
2888	点 4 8	盲文 点 4 8	# BRAILLE PATTERN DOTS-48
2889	点 1 4 8	盲文 点 1 4 8	# BRAILLE PATTERN DOTS-148
288A	点 2 4 8	盲文 点 2 4 8	# BRAILLE PATTERN DOTS-248
288B	点 1 2 4 8	盲文 点 1 2 4 8	# BRAILLE PATTERN DOTS-1248
288C	点 3 4 8	盲文 点 3 4 8	# BRAILLE PATTERN DOTS-348
288D	点 1 3 4 8	盲文 点 1 3 4 8	# BRAILLE PATTERN DOTS-1348
288E	点 2 3 4 8	盲文 点 2 3 4 8	# BRAILLE PATTERN DOTS-2348
288F	点 1 2 3 4 8	盲文 点 1 2 3 4 8	# BRAILLE PATTERN DOTS-12348
2890	点 5 8	盲文 点 5 8	# BRAILLE PATTERN DOTS-58
2891	点 1 5 8	盲文 点 1 5 8	# BRAILLE PATTERN DOTS-158
2892	点 2 5 8	盲文 点 2 5 8	# BRAILLE PATTERN DOTS-258
2893	点 1 2 5 8	盲文 点 1 2 5 8	# BRAILLE PATTERN DOTS-1258
2894	点 3 5 8	盲文 点 3 5 8	# BRAILLE PATTERN DOTS-358
2895	点 1 3 5 8	盲文 点 1 3 5 8	# BRAILLE PATTERN DOTS-1358
2896	点 2 3 5 8	盲文 点 2 3 5 8	# BRAILLE PATTERN DOTS-2358
2897	点 1 2 3 5 8	盲文 点 1 2 3 5 8	# BRAILLE PATTERN DOTS-12358
2898	点 4 5 8	盲文 点 4 5 8	# BRAILLE PATTERN DOTS-458
2899	点 1 4 5 8	盲文 点 1 4 5 8	# BRAILLE PATTERN DOTS-1458
289A	点 2 4 5 8	盲文 点 2 4 5 8	# BRAILLE PATTERN DOTS-2458
289B	点 1 2 4 5 8	盲文 点 1 2 4 5 8	# BRAILLE PATTERN DOTS-12458
289C	点 3 4 5 8	盲文 点 3 4 5 8	# BRAILLE PATTERN DOTS-3458
289D	点 1 3 4 5 8	盲文 点 1 3 4 5 8	# BRAILLE PATTERN DOTS-13458
289E	点 2 3 4 5 8	盲文 点 2 3 4 5 8	# BRAILLE PATTERN DOTS-23458
289F	点 1 2 3 4 5 8	盲文 点 1 2 3 4 5 8	# BRAILLE PATTERN DOTS-123458
28A0	点 6 8	盲文 点 6 8	# BRAILLE PATTERN DOTS-68
28A1	点 1 6 8	盲文 点 1 6 8	# BRAILLE PATTERN DOTS-168
28A2	点 2 6 8	盲文 点 2 6 8	# BRAILLE PATTERN DOTS-268
28A3	点 1 2 6 8	盲文 点 1 2 6 8	# BRAILLE PATTERN DOTS-1268
28A4	点 3 6 8	盲文 点 3 6 8	# BRAILLE PATTERN DOTS-368
28A5	点 1 3 6 8	盲文 点 1 3 6 8	# BRAILLE PATTERN DOTS-1368
28A6	点 2 3 6 8	盲文 点 2 3 6 8	# BRAILLE PATTERN DOTS-2368
28A7	点 1 2 3 6 8	盲文 点 1 2 3 6 8	# BRAILLE PATTERN DOTS-12368
28A8	点 4 6 8	盲文 点 4 6 8	# BRAILLE PATTERN DOTS-468
28A9	点 1 4 6 8	盲文 点 1 4 6 8	# BRAILLE PATTERN DOTS-1468
28AA	点 2 4 6 8	盲文 点 2 4 6 8	# BRAILLE PATTERN DOTS-2468
28AB	点 1 2 4 6 8	盲文 点 1 2 4 6 8	# BRAILLE PATTERN DOTS-12468
28AC	点 3 4 6 8	盲文 点 3 4 6 8	# BRAILLE PATTERN DOTS-3468
28AD	点 1 3 4 6 8	盲文 点 1 3 4 6 8	# BRAILLE PATTERN DOTS-13468
28AE	点 2 3 4 6 8	盲文 点 2 3 4 6 8	# BRAILLE PATTERN DOTS-23468
28AF	点 1 2 3 4 6 8	盲文 点 1 2 3 4 6 8	# BRAILLE PATTERN DOTS-123468
28B0	点 5 6 8	盲文 点 5 6 8	# BRAILLE PATTERN DOTS-568
28B1	点 1 5 6 8	盲文 点 1 5 6 8	# BRAILLE PATTERN DOTS-1568
28B2	点 2 5 6 8	盲文 点 2 5 6 8	# BRAILLE PATTERN DOTS-2568
28B3	点 1 2 5 6 8	盲文 点 1 2 5 6 8	# BRAILLE PATTERN DOTS-12568
28B4	点 3 5 6 8	盲文 点 3 5 6 8	# BRAILLE PATTERN DOTS-3568
28B5	点 1 3 5 6 8	盲文 点 1 3 5 6 8	# BRAILLE PATTERN DOTS-13568
28B6	点 2 3 5 6 8	盲文 点 2 3 5 6 8	# BRAILLE PATTERN DOTS-23568
28B7	点 1 2 3 5 6 8	盲文 点 1 2 3 5 6 8	# BRAILLE PATTERN DOTS-123568
28B8	点 4 5 6 8	盲文 点 4 5 6 8	# BRAILLE PATTERN DOTS-4568
28B9	点 1 4 5 6 8	盲文 点 1 4 5 6 8	# BRAILLE PATTERN DOTS-14568
28BA	点 2 4 5 6 8	盲文 点 2 4 5 6 8	# BRAILLE PATTERN DOTS-24568
28BB	点 1 2 4 5 6 8	盲文 点 1 2 4 5 6 8	# BRAILLE PATTERN DOTS-124568
28BC	点 3 4 5 6 8	盲文 点 3 4 5 6 8	# BRAILLE PATTERN DOTS-34568
28BD	点 1 3 4 5 6 8	盲文 点 1 3 4 5 6 8	# BRAILLE PATTERN DOTS-134568
28BE	点 2 3 4 5 6 8	盲文 点 2 3 4 5 6 8	# BRAILLE PATTERN DOTS-234568
28BF	点 1 2 3 4 5 6 8	盲文 点 1 2 3 4 5 6 8	# BRAILLE PATTERN DOTS-1234568
28C0	点 7 8	盲文 点 7 8	# BRAILLE PATTERN DOTS-78
28C1	点 1 7 8	盲文 点 1 7 8	# BRAILLE PATTERN DOTS-178
28C2	点 2 7 8	盲文 点 2 7 8	# BRAILLE PATTERN DOTS-278
28C3	点 1 2 7 8	盲文 点 1 2 7 8	# BRAILLE PATTERN DOTS-1278
28C4	点 3 7 8	盲文 点 3 7 8	# BRAILLE PATTERN DOTS-378
28C5	点 1 3 7 8	盲文 点 1 3 7 8	# BRAILLE PATTERN DOTS-1378
28C6	点 2 3 7 8	盲文 点 2 3 7 8	# BRAILLE PATTERN DOTS-2378
28C7	点 1 2 3 7 8	盲文 点 1 2 3 7 8	# BRAILLE PATTERN DOTS-12378
28C8	点 4 7 8	盲文 点 4 7 8	# BRAILLE PATTERN DOTS-478
28C9	点 1 4 7 8	盲文 点 1 4 7 8	# BRAILLE PATTERN DOTS-1478
28CA	点 2 4 7 8	盲文 点 2 4 7 8	# BRAILLE PATTERN DOTS-2478
28CB	点 1 2 4 7 8	盲文 点 1 2 4 7 8	# BRAILLE PATTERN DOTS-12478
28CC	点 3 4 7 8	盲文 点 3 4 7 8	# BRAILLE PATTERN DOTS-3478
28CD	点 1 3 4 7 8	盲文 点 1 3 4 7 8	# BRAILLE PATTERN DOTS-13478
28CE	点 2 3 4 7 8	盲文 点 2 3 4 7 8	# BRAILLE PATTERN DOTS-23478
28CF	点 1 2 3 4 7 8	盲文 点 1 2 3 4 7 8	# BRAILLE PATTERN DOTS-123478
28D0	点 5 7 8	盲文 点 5 7 8	# BRAILLE PATTERN DOTS-578
28D1	点 1 5 7 8	盲文 点 1 5 7 8	# BRAILLE PATTERN DOTS-1578
28D2	点 2 5 7 8	盲文 点 2 5 7 8	# BRAILLE PATTERN DOTS-2578
28D3	点 1 2 5 7 8	盲文 点 1 2 5 7 8	# BRAILLE PATTERN DOTS-12578
28D4	点 3 5 7 8	盲文 点 3 5 7 8	# BRAILLE PATTERN DOTS-3578
28D5	点 1 3 5 7 8	盲文 点 1 3 5 7 8	# BRAILLE PATTERN DOTS-13578
28D6	点 2 3 5 7 8	盲文 点 2 3 5 7 8	# BRAILLE PATTERN DOTS-23578
28D7	点 1 2 3 5 7 8	盲文 点 1 2 3 5 7 8	# BRAILLE PATTERN DOTS-123578
28D8	点 4 5 7 8	盲文 点 4 5 7 8	# BRAILLE PATTERN DOTS-4578
28D9	点 1 4 5 7 8	盲文 点 1 4 5 7 8	# BRAILLE PATTERN DOTS-14578
28DA	点 2 4 5 7 8	盲文 点 2 4 5 7 8	# BRAILLE PATTERN DOTS-24578
28DB	点 1 2 4 5 7 8	盲文 点 1 2 4 5 7 8	# BRAILLE PATTERN DOTS-124578
28DC	点 3 4 5 7 8	盲文 点 3 4 5 7 8	# BRAILLE PATTERN DOTS-34578
28DD	点 1 3 4 5 7 8	盲文 点 1 3 4 5 7 8	# BRAILLE PATTERN DOTS-134578
28DE	点 2 3 4 5 7 8	盲文 点 2 3 4 5 7 8	# BRAILLE PATTERN DOTS-234578
28DF	点 1 2 3 4 5 7 8	盲文 点 1 2 3 4 5 7 8	# BRAILLE PATTERN DOTS-1234578
28E0	点 6 7 8	盲文 点 6 7 8	# BRAILLE PATTERN DOTS-678
28E1	点 1 6 7 8	盲文 点 1 6 7 8	# BRAILLE PATTERN DOTS-1678
28E2	点 2 6 7 8	盲文 点 2 6 7 8	# BRAILLE PATTERN DOTS-2678
28E3	点 1 2 6 7 8	盲文 点 1 2 6 7 8	# BRAILLE PATTERN DOTS-12678
28E4	点 3 6 7 8	盲文 点 3 6 7 8	# BRAILLE PATTERN DOTS-3678
28E5	点 1 3 6 7 8	盲文 点 1 3 6 7 8	# BRAILLE PATTERN DOTS-13678
28E6	点 2 3 6 7 8	盲文 点 2 3 6 7 8	# BRAILLE PATTERN DOTS-23678
28E7	点 1 2 3 6 7 8	盲文 点 1 2 3 6 7 8	# BRAILLE PATTERN DOTS-123678
28E8	点 4 6 7 8	盲文 点 4 6 7 8	# BRAILLE PATTERN DOTS-4678
